HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
143.5608	58.5243	32.0215	5.3609	2.9941	0.8052	121.9081	43.2862	10.6007	0.0000	5.3004
143.7132	60.8693	34.6568	5.8472	2.9613	0.8625	135.2785	49.5137	10.6101	2.6525	2.6525
143.8656	62.5757	35.9152	6.0261	3.0119	0.9004	110.9258	53.3778	13.3445	4.1701	3.3361
144.0180	62.2102	35.6483	5.8529	3.0008	0.9191	132.5088	44.1696	15.0177	1.7668	2.6502
144.1704	61.3899	34.8934	5.6513	2.9934	0.9150	139.3990	41.7362	10.8514	5.0083	2.5042
144.3228	57.1848	33.1591	5.3048	2.7142	0.8825	130.8577	31.8302	13.2626	2.6525	2.6525
144.4752	53.5637	33.1889	5.2502	2.3018	0.8950	106.0071	44.1696	8.8339	0.0000	1.7668
144.6276	52.3521	33.8080	5.2042	2.0950	0.9402	112.1908	44.1696	5.3004	7.9505	0.0000
144.7800	55.7880	36.7388	5.4187	2.1520	1.0685	106.8447	42.5710	16.6945	1.6694	3.3389
144.9324	57.0969	38.1652	5.4120	2.1388	1.1529	126.2136	50.3089	18.5349	1.7652	0.8826
145.0848	58.7221	37.9875	5.2713	2.3424	1.1703	127.6058	34.1958	15.8464	3.3361	3.3361
145.2372	56.0276	35.2209	4.9071	2.3506	1.0812	119.4688	45.1323	13.2743	2.6547	3.5397
145.3896	54.7698	32.8169	4.5503	2.4801	1.0117	116.0266	37.5632	12.5206	0.0000	1.6694
145.5420	53.1991	31.9010	4.3624	2.4061	0.9955	113.9575	46.8204	7.9503	0.0000	0.8833
145.6944	56.6700	34.2122	4.5173	2.5371	1.0995	117.5995	35.0294	12.5106	2.5021	1.6681
145.8468	60.1103	35.6779	4.6054	2.7602	1.1674	141.4670	38.9045	15.0306	3.5366	1.7685
145.9992	60.9065	35.9898	4.6404	2.8149	1.1787	129.9990	53.3324	10.0005	2.4999	4.1666
146.1516	58.5940	36.3883	4.6423	2.5086	1.2015	114.3579	37.5629	18.3635	1.6695	3.3387
146.3040	56.9399	36.6481	4.6034	2.2924	1.2243	125.5528	42.4406	11.4944	1.7682	0.8841
146.4564	55.8594	36.9439	4.5481	2.1369	1.2525	128.0905	46.8194	13.2511	0.0002	0.0002
146.6088	58.7800	37.3392	4.5338	2.4222	1.2783	105.1770	40.9023	17.5290	2.5044	3.3388
146.7612	60.4520	37.7535	4.4867	2.5643	1.3118	132.5094	54.7700	14.1338	6.1835	1.7669
146.9136	63.3423	38.1455	4.4815	2.8465	1.3356	141.2168	50.3092	7.0613	2.6477	3.5304
147.0660	62.7262	35.9583	4.2279	3.0240	1.2584	122.0160	55.7028	13.2630	0.8843	2.6524
147.2184	61.5524	33.2999	4.0140	3.1917	1.1458	123.7844	53.0498	19.4514	2.6526	0.8842
147.3708	61.4050	32.9348	4.0205	3.2163	1.1233	126.3258	43.2861	13.2506	3.5335	1.7668
147.5232	59.5925	31.3812	3.7802	3.1871	1.0803	138.5687	40.6005	8.8265	1.7653	1.7653
