HOLE:	995B
LEG:	164
TOP:	147.9804
BOTTOM:	662.6352
DEPTH_WMSF	C1	C2
m	in	in
278.5872	13.3291	13.3765
278.7396	13.5745	13.5287
278.8920	13.4555	13.4358
279.0444	13.2764	13.3597
279.1968	13.2261	13.4463
279.3492	13.0362	13.2461
279.5016	13.3632	13.1978
279.6540	13.0527	13.3080
279.8064	12.4636	13.2637
279.9588	12.5120	13.2752
280.1112	12.6099	13.2029
280.2636	12.7512	13.0102
280.4160	12.9702	12.9687
280.5684	12.9963	13.1524
280.7208	12.8647	13.2148
280.8732	12.7285	13.1326
281.0256	12.6721	13.0906
281.1780	12.8106	13.0897
281.3304	13.0493	13.0694
281.4828	13.1520	13.0751
281.6352	12.9702	13.1394
281.7876	12.8034	13.2464
281.9400	12.9566	13.4102
282.0924	13.0300	13.4150
282.2448	12.9758	13.3506
282.3972	12.9799	13.4094
282.5496	13.2520	13.3670
282.7020	13.9220	13.9942
282.8544	14.6485	14.8877
283.0068	15.4063	15.2173
283.1592	15.7775	15.2672
283.3116	15.5381	14.6484
283.4640	15.3840	14.3472
283.6164	14.8398	14.8857
283.7688	14.3491	14.2108
283.9212	14.1446	13.2618
284.0736	14.6290	14.0431
284.2260	15.1182	14.8391
284.3784	15.3750	15.1224
284.5308	15.4240	14.0429
284.6832	14.4764	13.8614
284.8356	13.4296	14.2231
284.9880	12.9868	13.8115
285.1404	12.8423	13.4507
285.2928	13.0328	13.3028
285.4452	13.7421	13.8105
285.5976	13.3417	13.5644
285.7500	12.9473	13.4815
285.9024	13.0494	13.7682
286.0548	13.0246	13.7777
286.2072	12.8794	14.1640
