HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
304.4952	15.2198
304.6476	16.4483
304.8000	15.2183
304.9524	15.0234
305.1048	16.1453
305.2572	16.5522
305.4096	14.3991
305.5620	14.8348
305.7144	17.3225
305.8668	18.0074
306.0192	18.1360
306.1716	17.2818
306.3240	15.6863
306.4764	15.2949
306.6288	15.2937
306.7812	16.6713
306.9336	17.8368
307.0860	16.9409
307.2384	16.7674
307.3908	16.5566
307.5432	16.3746
307.6956	15.0998
307.8480	13.7874
308.0004	13.8696
308.1528	14.5036
308.3052	13.7702
308.4576	13.7751
308.6100	13.7878
308.7624	14.3399
308.9148	14.5909
309.0672	14.6028
309.2196	15.3580
309.3720	15.4416
309.5244	15.4833
309.6768	15.5061
309.8292	17.4402
309.9816	17.0257
310.1340	17.0174
310.2864	16.6944
310.4388	14.2155
310.5912	13.7478
310.7436	13.7478
310.8960	13.5208
311.0484	14.3499
311.2008	13.9097
311.3532	13.6470
311.5056	13.3838
311.6580	13.7746
311.8104	14.6843
311.9628	14.1108
312.1152	15.2850
312.2676	15.3728
312.4200	14.4799
312.5724	14.1613
312.7248	14.5515
312.8772	14.8063
313.0296	15.2653
313.1820	15.6781
313.3344	15.2645
313.4868	15.2750
313.6392	14.7455
313.7916	13.5439
313.9440	14.1704
314.0964	14.1878
314.2488	14.3238
314.4012	14.0431
314.5536	14.0925
314.7060	14.6718
314.8584	15.3352
315.0108	15.8255
315.1632	16.8643
315.3156	17.6372
315.4680	17.1288
315.6204	15.8089
315.7728	14.4664
315.9252	14.4625
316.0776	14.4591
316.2300	14.4881
316.3824	14.4837
316.5348	14.4888
316.6872	16.3600
316.8396	17.7874
316.9920	17.6100
317.1444	16.9749
317.2968	13.8715
317.4492	14.2664
317.6016	14.1820
317.7540	14.5168
317.9064	13.5816
318.0588	15.7649
318.2112	17.1542
318.3636	15.1744
318.5160	16.0783
318.6684	16.3677
318.8208	16.6618
318.9732	15.0107
319.1256	14.8463
319.2780	14.7576
319.4304	14.1292
319.5828	14.1361
319.7352	14.0285
319.8876	13.9244
320.0400	14.5045
320.1924	14.0827
320.3448	14.5391
320.4972	14.5420
320.6496	14.7618
320.8020	15.1314
320.9544	15.5440
321.1068	15.8052
321.2592	14.4883
321.4116	15.6074
321.5640	15.8676
321.7164	16.4430
321.8688	15.9062
322.0212	15.3231
322.1736	14.5528
322.3260	14.5945
322.4784	14.5975
322.6308	15.4793
322.7832	15.7163
322.9356	15.6394
323.0880	16.5040
323.2404	16.5271
323.3928	14.9334
323.5452	15.1324
323.6976	15.0455
323.8500	15.0423
324.0024	15.0441
324.1548	13.9793
324.3072	13.5177
324.4596	13.5874
324.6120	14.0943
324.7644	14.3323
324.9168	14.2845
325.0692	14.5966
325.2216	14.4796
325.3740	13.5445
325.5264	13.5358
325.6788	13.5062
325.8312	13.3789
325.9836	13.3991
326.1360	13.3177
326.2884	13.4361
326.4408	14.3628
326.5932	13.3976
326.7456	13.3792
326.8980	13.5206
327.0504	13.5449
327.2028	13.6863
327.3552	13.7521
327.5076	13.6010
327.6600	13.4197
327.8124	12.8902
327.9648	12.8906
328.1172	13.5240
328.2696	14.3348
328.4220	14.8482
328.5744	14.5278
328.7268	15.3269
328.8792	15.5538
329.0316	15.5268
329.1840	15.5239
329.3364	14.7717
329.4888	14.0263
329.6412	14.3597
329.7936	16.4982
329.9460	18.1670
330.0984	17.8554
330.2508	17.1509
330.4032	17.4701
330.5556	16.9316
330.7080	16.1700
330.8604	15.7190
331.0128	15.7288
331.1652	16.0144
331.3176	15.6951
331.4700	14.9950
331.6224	14.7494
331.7748	15.1077
331.9272	15.3195
332.0796	14.4606
332.2320	14.6636
332.3844	14.6805
332.5368	14.5089
332.6892	14.3776
332.8416	14.2822
332.9940	14.5876
333.1464	14.5321
333.2988	14.1199
333.4512	16.4780
333.6036	16.9322
333.7560	16.9796
333.9084	15.8904
334.0608	16.0486
334.2132	13.6160
334.3656	13.7177
334.5180	14.5199
334.6704	15.0505
334.8228	14.8756
334.9752	15.3235
335.1276	15.3944
335.2800	16.2173
335.4324	16.1137
335.5848	16.1268
335.7372	15.2751
335.8896	16.1749
336.0420	18.1914
336.1944	18.2857
336.3468	18.3222
336.4992	17.6905
336.6516	14.4076
336.8040	13.7163
336.9564	13.7141
337.1088	14.1122
337.2612	17.2727
337.4136	18.1271
337.5660	18.1356
337.7184	17.9171
337.8708	15.8711
338.0232	16.9168
338.1756	16.6073
338.3280	15.0180
338.4804	14.8612
338.6328	14.4371
338.7852	14.6549
338.9376	15.0697
339.0900	15.0738
339.2424	13.8496
339.3948	13.2022
339.5472	14.1058
339.6996	13.9638
339.8520	13.9799
340.0044	15.3947
340.1568	17.3794
340.3092	18.2226
340.4616	18.3200
340.6140	16.9594
340.7664	16.6141
340.9188	17.5949
341.0712	18.4029
341.2236	18.4221
341.3760	18.4365
341.5284	18.1278
341.6808	15.2174
341.8332	14.8468
341.9856	13.8272
342.1380	14.0457
342.2904	14.6619
342.4428	14.4973
342.5952	14.3588
342.7476	14.8243
342.9000	14.6616
343.0524	14.1207
343.2048	13.5782
343.3572	13.7257
343.5096	13.9134
343.6620	13.6808
343.8144	13.4050
343.9668	14.8500
344.1192	15.4958
344.2716	16.2280
344.4240	16.1996
344.5764	17.3198
344.7288	17.3299
344.8812	18.1982
345.0336	18.4410
345.1860	18.4388
345.3384	18.4377
345.4908	18.4367
345.6432	18.4439
345.7956	18.4277
345.9480	17.3636
346.1004	17.3818
346.2528	17.3716
346.4052	17.2581
346.5576	15.6806
346.7100	15.3910
346.8624	15.4716
347.0148	15.7583
347.1672	14.7690
347.3196	14.2324
347.4720	14.4759
347.6244	14.2274
347.7768	14.5316
347.9292	15.0076
348.0816	14.9513
348.2340	14.4787
348.3864	14.4819
348.5388	15.0099
348.6912	15.2347
348.8436	15.2351
348.9960	14.9723
349.1484	14.6241
349.3008	14.9028
349.4532	14.9785
349.6056	16.0202
349.7580	17.1887
349.9104	17.9987
350.0628	18.1982
350.2152	17.9868
350.3676	16.3061
